Date,Time,PM2.5 (µg/m³),PM10 (µg/m³),SO2 (ppm),NO2 (ppm),O3 (ppm),CO (ppm),VOCs (ppm),Temperature (°C),Humidity (%),Wind Speed (m/s),Wind Direction (°),pH,DO (mg/L),BOD (mg/L),COD (mg/L),Turbidity (NTU),Lead (µg/L),Mercury (µg/L),Arsenic (µg/L),Fecal Coliforms (MPN/100mL),Total Coliforms (MPN/100mL),Distance from Plant,Wind Direction (Plant),Elevation,Proximity to Water Bodies,Historical Pollution Levels,Historical Temperature,Historical Humidity,Historical Wind Speed,Regulatory Data,Industrial Activity,Demographic Data
9/7/2024,1:22 AM,63.90812855,8.497834009,0.0354935,0.064231664,0.05067625,6.716620445,0.039205366,33.83479334,75.99656298,3.693776242,296,7.058212967,9.986668517,2.592420162,3.765262689,2.129902318,3.708878395,0.221920443,0.424149034,139,351,0.338402672,199.4599667,364.833249,18.41894313,56.5428297,30.74123126,42.89146973,4.295014272,0.217156069,72.52361012,570.4998185
11/4/2024,11:03 AM,98.73978181,95.25244328,0.058893414,0.028870213,0.091728433,8.805657241,0.054923435,26.62184978,30.99283304,2.86736907,19,6.525016345,9.569644974,2.024460834,1.343258051,6.196955328,4.806449998,1.488216918,1.868934388,181,196,4.102948335,157.1342231,359.9214128,85.40580501,93.94454132,24.99949873,42.27776162,1.561478689,9.672016086,29.73794984,569.7440309
3/24/2024,5:33 AM,27.83748509,45.53171058,0.002427002,0.088572876,0.017710685,5.870379591,0.080763033,24.91787226,48.3938452,4.875283334,12,7.42634532,8.861095308,5.621132145,5.812960789,1.186373427,4.822600416,1.447131286,4.645957845,190,367,2.284518023,267.5038375,308.6774095,10.95791342,93.10475461,20.46328348,72.2047175,3.488311524,7.308008589,52.90869379,983.1600466
3/12/2024,3:38 AM,84.72853389,54.1274929,0.003068925,0.043452587,0.065509708,2.348601753,0.020565217,29.2984941,37.09428443,4.910669541,136,8.996018402,6.323046981,2.270860406,17.08875468,2.098039356,4.951207291,1.785102235,3.749543589,58,127,7.712858798,329.6931481,319.9227711,21.26093456,39.69055734,22.40125778,42.95828113,0.001056918,6.400551204,68.44787151,255.1806823
10/18/2024,3:10 AM,12.5476305,54.28504353,0.039579018,0.038264979,0.016023394,1.95617665,0.030739054,31.51585944,32.37584746,0.264784066,305,8.712725181,8.481002801,2.9803617,15.74711844,7.519030554,3.018685649,1.088942129,1.973336699,193,473,3.341462787,239.3949474,159.0835268,90.57151445,85.24764583,14.47655455,43.54168378,3.466224634,9.175582765,92.58760126,107.2933311
2/16/2024,11:23 PM,2.249689131,72.69911181,0.095634602,4.45E-06,0.068212594,4.740719577,0.071153062,27.26606916,36.82322876,1.225384537,138,8.385047545,8.690878386,7.149801013,3.010507206,1.994766062,2.107431591,0.53058947,4.717073623,81,217,0.249601355,309.7065973,282.4068479,95.38306646,3.404441425,22.51391988,79.49396462,2.38331152,7.373851979,18.2772605,150.8522202
2/3/2024,3:17 AM,58.24993648,78.08566895,0.006429235,0.005609776,0.050442321,5.716765123,0.083137572,24.60169541,65.88014786,4.971399062,267,8.566407272,7.481975812,6.470863425,4.018144224,4.216008232,3.066370914,0.62699215,1.515326755,32,258,1.12674328,167.9422155,8.485630596,34.84170459,78.08371537,34.2349086,61.58476585,4.963557799,1.8549206,28.28529227,147.1354325
7/5/2024,2:41 PM,90.36234477,11.9947651,0.043098241,0.008364979,0.007886732,6.371167813,0.006541051,16.64820379,75.62066499,3.746033621,351,8.673651139,6.780822975,0.694523577,8.466119706,6.975379834,0.727467424,1.762333487,2.125369203,77,403,7.22565283,321.7142079,155.2408122,25.64779984,74.29486536,25.59792157,31.57884993,0.589069335,9.655605775,67.63860051,311.8341817
10/18/2024,4:07 AM,41.22965665,29.41205685,0.02343098,0.073107038,0.009872413,8.325135872,0.096044856,33.37490335,35.38707041,2.707013386,6,7.25746457,6.727751669,3.782411999,19.33864885,3.376160577,3.695740053,0.625189594,0.698283335,133,139,5.748291931,238.2249525,178.9740164,66.37772266,42.75000198,10.9965729,46.51522598,2.243635031,0.666846249,70.95361718,323.4569934
4/11/2024,3:52 PM,80.28299737,75.25345576,0.071192321,0.05859431,0.012387141,3.347395455,0.079069904,10.06317793,49.25354582,3.853493037,60,8.599021532,9.957637855,0.07837726,15.74194555,7.004917515,1.929228838,1.545442115,0.246476588,141,320,0.060590779,112.025017,436.6888263,28.57273348,58.51689684,34.04642556,32.48843327,3.678636526,7.630966773,19.86531954,679.6266028
11/22/2024,1:33 AM,42.76749033,63.06574473,0.071967177,0.068921505,0.068579688,1.406284984,0.035432754,20.33943282,65.55436417,0.831130533,225,6.71871689,7.378476661,3.271033167,16.14739292,7.566848141,1.661891799,1.351418585,1.620745313,39,440,5.096286264,289.4876841,383.9908733,30.21414268,23.01586842,31.7294191,30.9032748,4.401565316,2.824222531,46.0851946,610.3757115
6/8/2024,7:43 PM,67.82454154,56.67618262,0.018901172,0.056687417,0.036857558,3.850525329,0.062750827,25.88839231,78.58176116,0.872838099,269,8.514484898,7.88621314,6.281770236,14.56812205,1.723158593,2.095205301,0.842842373,4.935085815,21,377,6.465774194,279.0278497,145.4007293,93.79798527,0.46204518,17.13615123,37.86595581,2.082303613,8.800452956,84.74259671,223.2841589
10/10/2024,8:38 PM,20.71687443,11.0654437,0.071256302,0.009872412,0.097297815,0.961900459,0.050432126,14.9939852,70.026461,1.635647731,15,7.241798068,7.720229327,9.922570273,0.161489551,0.237505274,4.207162926,1.761491701,3.262716832,71,249,6.57897749,131.5729009,131.5793014,82.57173785,98.3209632,15.18179536,55.3144481,2.367123254,1.682752371,37.87921989,883.6407371
6/6/2024,11:36 PM,36.58926458,49.76251054,0.018856037,0.003795777,0.029321343,3.730695871,0.028301198,28.63579365,38.38409156,0.598268373,283,8.543987522,7.721343603,5.85864215,18.6031095,2.419029772,4.011743541,0.341750048,2.376978767,107,145,8.19577151,297.8862177,461.0628731,58.85239537,78.75330459,33.16041262,41.24489476,4.16373371,5.476240146,94.46333742,574.9815637
1/11/2024,10:27 AM,70.42236948,85.46740786,0.056507968,0.040302104,0.068840445,5.8319025,0.052715031,32.64836054,42.25676639,4.2642906,209,6.966496402,7.122277591,3.472884672,1.135435815,7.174690062,1.305326506,0.48098825,0.05069735,95,331,1.351081286,86.27754004,146.1575347,55.76716191,48.92216818,30.76192809,65.86283089,0.281608401,3.142880101,20.81243426,924.2827517
8/24/2024,3:18 AM,98.39168649,89.95443169,0.093081689,0.0342529,0.04359215,7.246194964,0.00028628,12.38995077,32.60814432,3.040313299,176,8.313545086,7.052050576,4.417653491,0.767933024,7.539715159,1.760856893,0.539758789,0.171636313,137,331,3.193381707,314.0565375,380.8699762,15.54368455,66.09034143,11.81930946,63.58733194,0.003581073,7.564316067,43.86443134,636.6750262
8/12/2024,1:42 PM,86.99290733,2.824168161,0.059341394,0.076673112,0.066916981,2.724851983,0.076908474,21.11055957,33.11427027,3.736563908,110,7.422638254,8.434188006,0.130638701,18.34819874,0.209671215,0.482946829,0.907615015,0.376828869,94,46,0.511108846,330.6785923,199.1422313,32.41303655,19.16695363,29.20301375,56.40309057,0.50396378,7.870231871,42.55850266,509.2474876
7/16/2024,1:34 PM,51.63808749,15.33088489,0.063360545,0.09870133,0.058369483,1.526429301,0.035067633,31.45921658,56.03687275,4.683879699,104,8.174397985,6.026431321,4.03678732,8.662239316,6.374433307,3.864570139,1.327861613,2.894585961,191,467,7.856231074,85.00648721,336.6506208,74.07413952,23.79144418,14.22370117,41.44486598,4.805382228,8.903256215,73.23499767,349.6041197
1/29/2024,8:14 PM,91.9551586,33.46984553,0.045231971,0.000835108,0.069604445,1.645116308,0.041646761,30.08577409,64.36537108,4.516415474,36,7.676632708,8.208510322,5.48706297,17.31516912,7.263504599,2.049772911,1.331152879,2.296550061,99,207,0.406818454,343.7111534,26.99198701,85.89682816,23.41471439,20.18360855,77.33305782,2.443315185,0.849398492,79.46732749,325.5065282
7/17/2024,5:12 PM,24.00458448,56.15590447,0.009421501,0.039458952,0.032363344,5.23049893,0.080049781,19.46723932,59.07543387,0.029805825,130,6.056764701,9.197686559,4.307946189,6.794393342,4.85446432,0.952051997,1.796159428,2.973916969,38,62,0.857435773,155.3646554,236.1259098,84.27565779,7.54848706,17.18916728,55.74002512,3.366262943,4.284293497,90.26750493,26.01147379
8/9/2024,6:26 PM,64.88043654,21.49454871,0.011609037,0.017371162,0.03403553,7.176876672,0.019596372,11.78732408,48.41690424,1.04886628,259,6.752813206,8.081851099,8.82627385,5.987789262,6.053682625,2.573114599,0.096546223,4.253413414,148,224,7.465496912,305.191895,178.812752,86.31907031,61.66794552,15.30699706,54.44811145,3.331728255,8.812199548,84.46780984,791.365974
9/28/2024,4:23 AM,58.92103374,71.98243018,0.041170425,0.063654494,0.038334915,0.186535264,0.040356464,22.6686719,50.63043638,2.864762721,261,8.698920773,8.55371096,9.677857911,17.69652702,6.125019999,2.072371312,0.642744629,2.915979492,52,304,4.14146561,49.77994655,329.7595179,20.45658663,72.40387174,11.37909214,64.90262871,0.493128971,4.68781632,54.98927096,971.3374284
8/18/2024,1:54 AM,36.07217782,68.48118244,0.089396059,0.061506139,0.087941673,3.012332531,0.045008106,34.40890027,64.51787032,1.478780448,16,7.279338454,8.262673852,8.461958153,7.669845734,1.265224778,0.875190584,0.927471701,2.992467164,113,392,1.427858421,96.98755934,132.3897459,73.61309669,20.00097593,34.56747207,33.64646325,1.819428738,7.61648464,92.63829534,981.1742743
5/30/2024,7:24 PM,12.90521903,63.86797508,0.071372474,0.073800063,0.076670321,4.004729263,0.028232091,10.37655624,41.87129413,1.613507129,165,7.291681005,9.650801325,5.746486333,10.22343599,6.102027435,0.085679251,0.980229274,4.072479392,30,189,5.798018739,203.5625831,121.8531989,76.26037673,54.67457423,34.42019366,40.76343429,0.930229432,8.148335647,94.5779242,463.5255327
12/15/2024,9:42 PM,28.00281779,2.664689794,0.071394198,0.089810699,0.060249862,6.226322287,0.022503207,13.33344471,38.86345478,0.152649908,323,6.78846685,9.643402433,7.175385013,0.657826991,6.023045385,3.508107803,1.677810782,0.384329294,10,138,9.417053607,341.0496568,171.6289366,34.77546488,65.7025617,17.47515492,41.50208995,3.088580786,1.204498713,4.074821942,433.1372169
10/27/2024,8:11 PM,94.41887927,67.10315215,0.015856862,0.022105251,0.007644174,3.745910097,0.022931192,19.56148416,59.2432213,1.749995422,16,6.5567532,6.104836951,4.959746064,17.04133611,9.273127975,2.329563459,0.865816887,3.608866654,133,471,7.803430802,242.3010769,113.1464387,4.270482461,73.18381053,14.61312953,36.0167442,2.363123467,9.175835816,92.71464363,489.6846407
8/23/2024,11:09 PM,74.22549496,86.36432101,0.008136365,0.093176949,0.055090383,0.472162841,0.051100969,19.2476883,64.9402394,0.277472264,261,6.023082476,8.437989124,1.613384735,6.874692437,7.949623017,3.345955756,0.227452423,2.83184358,154,28,9.493217388,20.73252412,63.32344258,17.89685976,53.84410328,21.70764981,41.50098561,3.18975059,4.28306833,49.94157242,0.83518077
2/14/2024,8:54 PM,87.12040001,84.20032247,0.072015928,0.013423486,0.016803409,4.446916701,0.016549994,33.32149068,66.70680029,1.838809152,217,7.018330164,8.548330985,9.108294668,14.22164268,0.369135635,4.758977823,1.852341131,3.597888096,43,119,2.092738498,147.6760123,481.5158064,15.7089549,14.91977753,31.62352745,71.2295849,4.911930533,4.516423151,11.12101508,883.2614901
8/17/2024,6:27 AM,70.26633081,41.96716918,0.08468132,0.003656252,0.075526441,3.737615136,0.000529245,23.1537029,53.72100251,4.613021308,147,8.027295342,8.155826259,3.437057207,12.934896,4.488993927,3.032866705,0.969208334,1.917353355,43,465,5.874911221,351.3034759,447.1059832,67.70592509,34.68509651,31.03836299,68.43692666,3.768229306,3.939362856,85.14425709,303.6604819
1/20/2024,7:44 AM,56.42315318,15.18515535,0.068411052,0.045261179,0.037582107,1.409948223,0.001792295,17.65254262,66.02280542,2.354129274,26,6.515813118,9.311592381,9.119340418,14.01599248,0.549150618,0.734103603,1.738801539,0.36805993,136,445,2.96970402,86.37565101,344.8579942,14.37062501,84.92015742,17.28325347,44.18546589,2.995128628,6.73611437,23.07963859,445.3926249
5/22/2024,8:54 PM,80.53521646,15.84791263,0.027279276,0.090514418,0.043911174,6.915859409,0.053400131,20.17239782,46.66008911,2.543498785,110,6.754138296,8.670810282,0.070029523,0.169032078,6.444189435,1.424579387,0.794785942,2.94577466,155,95,0.552011162,241.0230931,127.0545578,86.08940056,99.23546462,15.33412805,72.87923195,3.678237065,5.012119959,68.75552559,488.5435622
3/3/2024,12:32 AM,30.23803341,78.04494417,0.013206021,0.072186933,0.033329729,8.917958611,0.023555574,17.19638439,35.79732807,0.251603402,333,7.014112158,9.475265885,9.417703519,16.6957309,2.698013021,2.344595206,0.559578704,2.782628282,167,149,4.048976563,354.7539493,480.6781741,35.73973073,34.36916967,30.40644749,45.05439957,4.595857433,2.246985858,87.5937582,636.6884834
4/25/2024,10:36 PM,28.78608593,75.51826825,0.038181895,0.026385787,0.01922512,3.25545318,0.098016226,32.87969714,32.44966778,3.680399299,214,7.970140895,6.09176032,6.115709546,1.270030998,3.508311657,2.210723598,1.935496322,2.662425721,75,50,0.401348262,68.96254059,69.44176639,80.79652724,33.17193756,33.79476392,59.15704851,1.033704133,3.516115662,99.29129447,117.8569756
5/4/2024,6:20 AM,60.92089311,75.1943454,0.065422656,0.044157801,0.036059609,7.290217129,0.005068668,24.90507077,74.72886269,1.993941128,233,6.297221721,9.277074745,9.483622051,8.476193404,4.924754133,2.113048112,0.268301391,2.942689299,79,273,1.069401883,83.22087986,229.4131544,71.18964051,89.7094553,25.74193731,54.92812265,3.858066282,1.971400473,97.10669856,796.6396894
12/17/2024,1:46 PM,86.20053977,77.67620937,0.049263586,0.045481173,0.087531656,4.34608003,0.069507948,25.04551278,48.00374852,0.290982729,100,6.330405979,6.510977491,5.781983694,6.438610201,4.479739739,0.217965852,0.066732927,0.521131334,110,83,4.080322229,41.87929634,126.4228687,31.30777198,99.52392406,20.04950937,47.93291411,0.315317904,3.567870324,23.86237828,326.6280447
10/31/2024,10:46 PM,59.81033348,5.558503342,0.082912414,0.041170147,0.09556989,3.263925117,0.012095184,14.01949212,63.7814016,1.400900155,134,8.119840139,8.957915703,5.346365479,6.278016196,9.642974682,4.937827052,1.474450268,3.266644527,112,484,3.025503651,301.6153385,443.6037726,60.68501976,97.3839728,16.45184714,51.45868203,4.009310615,8.6921574,4.829925448,923.6463358
3/12/2024,11:16 AM,66.6041803,88.63654072,0.065067647,0.022864739,0.080114104,3.66653659,0.081145105,29.23754013,55.28684474,4.521954863,299,7.68527346,7.826135409,5.331969969,14.22021124,6.505888146,4.330538566,0.017395762,3.204561949,89,125,6.660149087,235.2640829,443.3246618,55.38843888,52.36099688,31.22334837,41.04049976,4.837712033,0.086389228,36.66415696,833.631211
7/13/2024,11:44 PM,75.02293162,9.498268207,0.087221382,0.065049135,0.031878485,3.144852333,0.099291723,34.58165381,38.87439457,1.726967439,71,8.383509313,7.701081724,6.703845196,4.902481393,0.282109869,0.407332154,0.927389059,3.192341921,177,352,1.130027271,80.48118366,376.1251208,34.12146679,74.19621044,10.23863493,74.36619489,2.443129668,1.957014996,85.16363699,32.33440943
2/4/2024,9:06 PM,26.54487848,55.31518128,0.066105893,0.047957003,0.015459001,8.226649891,0.038842928,11.50120568,46.71440787,0.894006319,146,6.289670291,6.091310502,2.852827685,2.845327109,5.311163058,0.304633156,1.913711271,4.362923524,142,304,2.336245717,351.9408404,166.61432,49.47708586,74.87319645,12.10297172,71.11989248,4.22388381,4.383127498,46.32446142,749.2545363
2/7/2024,8:16 PM,17.0546658,81.02040863,0.031835623,0.017452098,0.064282654,1.591932702,0.059806488,24.27653317,78.55815853,1.676257932,44,8.9830048,7.488542689,0.137535214,13.05857394,4.253710046,0.893805725,0.247420257,3.299245794,121,118,8.354296627,133.4366438,468.9128143,33.35219478,68.58938031,25.14152366,38.54760236,0.705981465,8.019045118,85.72692989,897.742161
9/28/2024,3:03 PM,56.45034935,57.54028699,0.029392815,0.086640543,0.044386968,1.518696171,0.082944051,16.1406926,39.59492109,4.928339487,299,6.289207675,9.643655944,4.887488901,9.042944328,8.054801661,2.841896907,1.745851081,2.667047367,192,157,9.707912463,188.3352209,92.44563348,64.38839107,85.82864597,27.16084889,77.38838478,0.609362327,2.275940038,45.76718636,519.565881
10/28/2024,1:04 AM,45.27207465,88.8332225,0.091766169,0.030186427,0.007424566,8.719303481,0.037507489,13.95556525,56.64687693,4.542957996,298,7.459869465,9.320828254,3.905768811,13.67057949,9.447349008,4.8720536,1.722432978,0.192613798,56,346,3.596254938,146.1039841,18.21619468,82.19582848,22.38795188,24.4434206,74.55498086,2.100777891,9.894927825,74.23532637,808.6565941
2/13/2024,12:13 PM,73.20162578,19.80985653,0.081493466,0.078819907,0.060424533,5.138131871,0.007282409,23.0062124,50.96289139,3.597141341,237,6.600504438,8.517684493,7.614796415,17.38304682,3.538374639,3.989222979,0.713902641,1.4926176,21,479,0.691021996,98.05142594,439.6503485,98.51920281,91.58300491,23.47056353,72.72958177,3.736964645,6.765223434,58.64264475,789.9220797
5/26/2024,12:11 AM,3.510143878,85.23874073,0.071622993,0.014180278,0.037721554,0.412138011,0.078394013,30.13588212,51.31338783,4.891870975,63,7.658380169,7.67369783,8.397671916,14.98097963,1.489420269,2.840702607,0.669944588,1.065504023,133,368,2.841832082,289.5920693,50.20112925,5.080102112,11.3434491,13.2775486,52.86311205,2.45534636,2.957630683,71.0020074,283.6779184
5/2/2024,7:47 PM,9.891235574,79.76151899,0.047629805,0.09057261,0.071372085,3.724629262,0.071643722,22.66231197,35.73786187,2.418813817,271,7.864555488,7.642559583,3.439521189,12.55914314,2.129444213,4.860951201,1.78604275,3.861901468,71,102,6.151921081,284.7325706,368.7787675,65.30570605,14.82540089,13.70022076,61.2200046,2.51404123,0.343414081,70.95657661,242.0908711
1/6/2024,9:50 AM,5.587689291,13.83769939,0.060868533,0.093776941,0.099908321,1.39933014,0.032758229,15.819037,34.55050338,0.73859885,75,6.184421861,9.465798782,7.000588715,16.84907812,1.455891186,4.451085132,0.359108888,0.445999175,130,195,2.939419258,143.7696305,412.6817957,89.18151887,13.84505912,10.03087908,42.74776634,3.17221342,7.980096198,66.19473531,520.1854282
11/18/2024,4:29 AM,67.87219474,83.31508329,0.030802913,0.04688378,0.036770135,4.944392259,0.01924541,22.91408255,36.3482732,0.213403657,202,7.77107773,8.061168984,5.226312505,10.16143072,4.920243213,2.359347036,0.897544031,0.135817038,103,174,1.721446199,84.56657025,315.2357603,89.21990613,35.64072564,10.43283944,73.57260705,3.350722068,9.35274914,52.38131853,627.0957807
2/15/2024,3:35 AM,5.151890792,54.16652891,0.060258747,0.059721658,0.093015456,8.384260942,0.090886417,22.86759532,65.3728352,3.501846128,153,8.50316934,7.457080378,4.963457613,2.068719818,4.224628979,4.796631311,0.756654373,1.047202055,118,180,7.6498236,276.4139027,84.6069988,81.39249073,15.06887966,22.29196974,45.71014621,1.126519525,5.691132238,46.99364304,171.7667817
9/4/2024,6:51 AM,72.30626245,50.01346455,0.095505407,0.040692006,0.074734526,9.928681903,0.082363811,25.37037736,74.07763801,3.68453952,333,7.811960367,8.110635799,5.102442758,6.25685533,0.909195364,2.526192901,1.109905612,2.185985142,106,457,5.630157213,259.238202,339.1084896,28.371369,70.62049171,17.79093084,30.52129474,3.609888443,2.058732304,96.59230342,831.6778892
6/22/2024,10:52 PM,55.43394941,52.78248688,0.081458105,0.06803315,0.072985763,1.286257686,0.021432486,27.2122669,78.9527642,3.757241362,141,7.288036474,8.456943358,2.43575175,17.68243988,7.0144456,0.707932322,0.267365101,2.28283516,124,157,6.653719752,37.20207271,313.7617691,19.27677903,60.07664759,13.20691231,41.05087655,3.077996097,7.791552002,35.81168444,400.464944
11/11/2024,9:07 PM,88.47063016,85.3955293,0.050470382,0.016234651,0.033862374,0.440138383,0.027396496,15.73371545,68.1180143,3.867259185,31,7.789821054,6.727314456,4.511613948,17.00806371,2.568903276,3.306473511,0.384515889,2.622522732,113,425,4.002630907,192.9779071,340.4565029,2.098615992,69.37769958,24.78498125,45.04671283,3.140792627,3.129950114,45.29674356,811.6562602
7/20/2024,11:49 PM,4.463832598,46.42264783,0.079082979,0.028414953,0.028200878,3.159246317,0.031703274,26.76982104,36.50764771,1.259871396,144,7.38971091,8.559004047,1.098999818,14.17820305,4.334266768,0.771301872,0.486064338,3.037790562,24,146,1.703581207,272.516946,149.065585,50.76122711,57.88268904,26.21147484,69.24655899,2.425202765,1.911371276,63.66394659,594.4545958
11/27/2024,8:38 AM,26.86565728,83.09475803,0.094753188,0.075902291,0.041200165,5.662836218,0.006490524,12.09376479,61.00530636,2.937896731,258,8.148507557,8.188233861,4.408800175,4.956569793,6.73305468,4.983025243,1.91969272,2.02675806,31,132,0.806451703,140.4244785,150.4087178,71.15406945,69.43710007,21.3687959,37.89817522,4.236937446,8.610503547,95.90410045,647.6597342
2/21/2024,12:05 AM,14.96725098,38.00380187,0.015489327,0.033706628,0.017890149,8.963622795,0.058959519,34.59140571,53.96538595,3.035705879,152,7.264974062,8.834347367,8.731840666,8.339770052,7.227397394,1.626852843,1.038019178,4.119022729,148,397,1.768783939,212.4951766,191.8111529,87.4781694,34.50271869,10.22106019,39.05123841,0.977128059,9.524518897,24.64049016,729.8245851
9/2/2024,7:38 AM,77.42193034,13.13338476,0.098056287,0.019954726,0.051423514,0.477247918,0.021898665,17.82674871,63.87119062,1.511995267,259,7.702386952,9.663198046,9.624545502,3.415872357,6.175289117,3.542754053,0.992280176,0.114781618,4,380,3.51478133,107.3479428,17.96784174,28.47888057,65.69479842,23.1002817,49.25703372,4.872916996,5.975320993,63.97399212,420.957904
9/6/2024,2:08 PM,76.0514397,75.98113856,0.068309783,0.074070938,0.028230037,0.403697823,0.08337561,22.57775565,46.53606947,3.437411651,13,8.743904815,7.64298773,5.694069739,17.92921482,0.243834113,4.812854432,1.146202202,2.445042603,200,312,9.062803447,12.79736448,171.6735228,80.72939241,64.83065289,18.46025772,30.25557305,2.461491435,0.004594082,20.25993985,385.3563848
1/21/2024,2:31 AM,69.71107197,70.42431091,0.088847156,0.007778365,0.089693577,3.192726679,0.019091924,30.94480202,79.95255064,3.235033138,84,7.088064219,6.328730425,0.295178579,10.47376309,2.185087617,4.190969132,1.407530079,3.49965995,115,389,6.689403412,245.5366314,151.3031355,72.85680467,17.20124964,16.64669165,41.91696704,4.524829806,5.745807322,33.0804173,847.3829472
8/22/2024,1:44 AM,94.45071611,53.20161621,0.029672667,0.059265227,0.033166779,5.744352742,0.053623488,21.84804168,78.65292483,1.025324578,279,8.421686451,9.435444175,6.630586059,9.535489998,5.831260038,1.341185174,1.167126495,3.044945168,180,107,9.392714248,293.7201828,340.6437745,20.76675215,43.38378809,27.99249152,76.8961283,2.538212,0.623464768,48.99475554,243.5573171
4/19/2024,11:25 AM,25.12850416,64.26387987,0.027861308,0.098402675,0.048846398,4.921889704,0.033857606,32.09199566,65.44082689,4.855428411,39,8.425535566,8.850478,7.491619877,7.194390062,9.172613717,4.197322688,1.098807909,4.18206236,48,450,5.757458021,69.25792575,383.2407299,95.70994313,27.56620512,34.68947027,51.94861409,4.235229543,4.072795632,35.4962391,258.89526
